Customer ID,Country,Loyalty Card
12018-75670-EU,Ireland,Yes
86437-17399-FK,United States,No
62979-53167-ML,United States,Yes
54810-81899-HL,United States,No
26103-41504-IB,United States,Yes
76534-45229-SG,United States,Yes
81744-27332-RR,Ireland,Yes
91513-75657-PH,United States,Yes
30373-66619-CB,United States,No
31582-23562-FM,United States,No
58638-01029-CB,United States,Yes
81431-12577-VD,United States,No
68894-91205-MP,United States,No
87602-55754-VN,United States,No
39181-35745-WH,Ireland,Yes
30381-64762-NG,United States,No
17503-27693-ZH,United States,Yes
89442-35633-HJ,United Kingdom,Yes
13654-85265-IL,Ireland,Yes
40946-22090-FP,United States,No
29050-93691-TS,United States,No
64395-74865-WF,United States,No
81861-66046-SU,Ireland,No
13366-78506-KP,United States,Yes
08847-29858-HN,United States,Yes
00539-42510-RY,Ireland,Yes
45190-08727-NV,Ireland,Yes
87049-37901-FU,United States,No
34015-31593-JC,United States,No
90305-50099-SV,United States,Yes
55871-61935-MF,United States,No
15405-60469-TM,United States,Yes
06953-94794-FB,United States,No
22305-40299-CY,United States,Yes
09020-56774-GU,United States,Yes
92926-08470-YS,United States,No
07250-63194-JO,United States,No
63787-96257-TQ,Ireland,No
49530-25460-RW,United States,No
66508-21373-OQ,United Kingdom,No
20203-03950-FY,Ireland,Yes
83895-90735-XH,United States,No
61954-61462-RJ,United States,Yes
47939-53158-LS,United States,No
38903-46478-ZE,United States,Yes
76841-77583-BJ,United States,No
61513-27752-FA,United States,Yes
89714-19856-WX,United States,No
87979-56781-YV,United States,Yes
74126-88836-KA,Ireland,Yes
37397-05992-VO,United States,No
54904-18397-UD,Ireland,No
19017-95853-EK,United States,No
88593-59934-VU,United States,Yes
47493-68564-YM,Ireland,Yes
82246-82543-DW,United States,Yes
03384-62101-IY,United States,Yes
86881-41559-OR,United States,No
02536-18494-AQ,United States,Yes
29732-74147-HX,Ireland,No
90312-11148-LA,United States,No
68239-74809-TF,Ireland,No
91074-60023-IP,United States,No
07972-83748-JI,United States,Yes
08694-57330-XR,Ireland,Yes
68412-11126-YJ,United States,Yes
69037-66822-DW,Ireland,Yes
01297-94364-XH,United States,No
39919-06540-ZI,United States,Yes
60512-78550-WS,United States,No
40172-12000-AU,United States,No
42394-07234-AM,United States,Yes
39019-13649-CL,United States,Yes
12715-05198-QU,United States,Yes
04513-76520-QO,United States,Yes
88446-59251-SQ,United States,Yes
23779-10274-KN,United States,Yes
57235-92842-DK,United States,No
75977-30364-AY,United States,No
12299-30914-NG,United States,Yes
59971-35626-YJ,United States,Yes
15380-76513-PS,Ireland,No
73564-98204-EY,United States,Yes
72282-40594-RX,United States,No
17514-94165-RJ,United States,No
56248-75861-JX,United States,No
97855-54761-IS,United States,Yes
96544-91644-IT,United States,No
51971-70393-QM,Ireland,No
06812-11924-IK,United States,Yes
59741-90220-OW,United States,Yes
62682-27930-PD,United States,Yes
00256-19905-YG,Ireland,No
38890-22576-UI,Ireland,No
94573-61802-PH,United Kingdom,No
86447-02699-UT,United States,Yes
51432-27169-KN,Ireland,No
43074-00987-PB,United States,No
04739-85772-QT,United States,Yes
28279-78469-YW,United States,Yes
91829-99544-DS,United States,Yes
38978-59582-JP,United States,Yes
86504-96610-BH,United States,No
75986-98864-EZ,Ireland,No
66776-88682-RG,United States,No
33284-98063-SE,United States,No
85851-78384-DM,United States,No
55232-81621-BX,United States,No
80310-92912-JA,United States,No
19821-05175-WZ,United States,Yes
01338-83217-GV,United States,No
66044-25298-TA,United States,Yes
28728-47861-TZ,United States,Yes
32638-38620-AX,United States,Yes
83163-65741-IH,United States,Yes
89422-58281-FD,United States,Yes
76293-30918-DQ,Ireland,Yes
86779-84838-EJ,United States,No
66806-41795-MX,United States,No
64875-71224-UI,United States,No
16982-35708-BZ,United States,No
62425-26461-RK,Ireland,Yes
71468-76923-BU,United States,No
23014-48364-QB,United States,No
92588-14671-JM,United Kingdom,No
66708-26678-QK,United States,No
08743-09057-OO,United States,Yes
37490-01572-JW,United States,No
01811-60350-CU,United States,No
24766-58139-GT,United States,Yes
90123-70970-NY,United States,No
93809-05424-MG,United States,Yes
85425-33494-HQ,Ireland,Yes
54387-64897-XC,United Kingdom,No
01035-70465-UO,United States,Yes
84260-39432-ML,United States,No
69779-40609-RS,United States,Yes
80247-70000-HT,United States,No
35058-04550-VC,Ireland,No
27226-53717-SY,United States,No
02002-98725-CH,United States,Yes
38487-01549-MV,United States,No
98573-41811-EQ,Ireland,Yes
72463-75685-MV,United States,No
14797-35530-HY,United States,No
10225-91535-AI,United States,Yes
48090-06534-HI,United States,No
80444-58185-FX,United States,Yes
13561-92774-WP,United States,Yes
11550-78378-GE,Ireland,No
90961-35603-RP,United States,No
57145-03803-ZL,United Kingdom,Yes
89115-11966-VF,United States,No
05754-41702-FG,United States,No
84269-49816-ML,United States,No
23600-98432-ME,United States,Yes
79058-02767-CP,United Kingdom,No
89208-74646-UK,United States,No
11408-81032-UR,United States,No
32070-55528-UG,Ireland,No
48873-84433-PN,Ireland,No
32928-18158-OW,United States,Yes
89711-56688-GG,United States,Yes
48389-71976-JB,United States,No
84033-80762-EQ,United States,Yes
12743-00952-KO,United States,No
41505-42181-EF,United States,Yes
14307-87663-KB,United States,Yes
08360-19442-GB,United States,No
93405-51204-UW,United States,Yes
97152-03355-IW,United Kingdom,No
79216-73157-TE,Ireland,Yes
20259-47723-AC,United States,Yes
04947-41413-JP,United States,No
08909-77713-CG,United States,Yes
84340-73931-VV,United States,Yes
04609-95151-XH,United States,No
99562-88650-YF,United States,No
46560-73885-PJ,United Kingdom,No
80179-44620-WN,United States,No
04666-71569-RI,United States,Yes
59081-87231-VP,United States,Yes
07878-45872-CC,United States,No
12444-05174-OO,United Kingdom,No
34665-62561-AU,United States,Yes
77877-11993-QH,United States,Yes
32291-18308-YZ,United States,No
25754-33191-ZI,United States,No
53120-45532-KL,Ireland,Yes
36605-83052-WB,United States,Yes
53683-35977-KI,United Kingdom,No
07972-83134-NM,United States,Yes
23229-79220-TE,United States,Yes
25514-23938-IQ,United States,No
49084-44492-OJ,Ireland,Yes
76624-72205-CK,United States,Yes
12729-50170-JE,Ireland,Yes
43974-44760-QI,United States,No
30585-48726-BK,United States,No
16123-07017-TY,United States,No
27723-45097-MH,Ireland,Yes
37078-56703-AF,United States,No
79420-11075-MY,United States,Yes
57504-13456-UO,United States,Yes
53751-57560-CN,United States,Yes
96112-42558-EA,United States,Yes
03157-23165-UB,United Kingdom,No
51466-52850-AG,United Kingdom,Yes
57145-31023-FK,United States,No
66408-53777-VE,United States,No
53035-99701-WG,United States,Yes
45899-92796-EI,United States,No
17649-28133-PY,Ireland,Yes
49612-33852-CN,United States,Yes
66976-43829-YG,United States,No
64852-04619-XZ,Ireland,No
58690-31815-VY,United States,No
62863-81239-DT,United States,No
21177-40725-CF,United States,No
99421-80253-UI,United States,No
45315-50206-DK,United States,Yes
09595-95726-OV,United States,Yes
60221-67036-TD,United States,Yes
62923-29397-KX,United States,Yes
33011-52383-BA,United States,Yes
86768-91598-FA,United States,Yes
37191-12203-MX,United States,No
16545-76328-JY,United States,Yes
32177-42200-TP,United States,Yes
22349-47389-GY,United Kingdom,No
70290-38099-GB,United States,No
18741-72071-PP,United States,Yes
62588-82624-II,United Kingdom,No
37430-29579-HD,United States,Yes
84132-22322-QT,Ireland,No
74330-29286-RO,United States,Yes
37445-17791-NQ,United States,Yes
58511-10548-ZU,United Kingdom,Yes
47725-34771-FJ,United States,No
53086-67334-KT,United States,Yes
83308-82257-UN,Ireland,No
37274-08534-FM,United States,No
54004-04664-AA,United States,Yes
26822-19510-SD,United States,Yes
37916-57149-GE,United States,Yes
06432-73165-ML,Ireland,Yes
96503-31833-CW,Ireland,No
63985-64148-MG,United States,Yes
19597-91185-CM,United States,No
79814-23626-JR,United States,Yes
43439-94003-DW,United States,No
97655-45555-LI,United States,Yes
64418-01720-VW,United States,Yes
96836-09258-RI,United States,Yes
33622-01348-PF,United States,No
69529-07533-CV,United States,Yes
94840-49457-UD,United States,Yes
81414-81273-DK,United States,Yes
76930-61689-CH,United States,No
12839-56537-TQ,United States,Yes
62741-01322-HU,United Kingdom,No
34104-15243-UX,United States,No
44932-34838-RM,United States,No
91181-19412-RQ,United States,Yes
37182-54930-XC,United States,Yes
08613-17327-XT,United States,No
40507-83899-MR,United States,No
70451-38048-AH,United States,No
35442-75769-PL,Ireland,Yes
83737-56117-JE,United States,No
07095-81281-NJ,United States,Yes
77043-48851-HG,United States,No
78224-60622-KH,United States,No
83105-86631-IU,United States,No
99358-65399-TC,United States,No
94525-76037-JP,United States,No
91336-36621-RB,United States,No
82718-93677-XO,United States,Yes
44708-78241-DF,United States,No
23039-93032-FN,United States,Yes
35256-12529-FT,United States,Yes
86100-33488-WP,United States,No
64435-53100-WM,United States,No
44699-43836-UH,United Kingdom,No
29588-35679-RG,United States,No
09003-89770-JO,United States,Yes
64815-54078-HH,United States,Yes
59572-41990-XY,United States,No
32481-61533-ZJ,United States,Yes
31587-92570-HL,United States,No
93832-04799-ID,United States,No
59367-30821-ZQ,United States,Yes
83947-45528-ET,United States,No
60799-92593-CX,United States,Yes
61600-55136-UM,United States,Yes
59771-90302-OF,United States,Yes
16880-78077-FB,United States,No
74415-50873-FC,Ireland,Yes
31798-95707-NR,United States,Yes
59122-08794-WT,United States,Yes
37238-52421-JJ,United States,Yes
48854-01899-FN,Ireland,No
80896-38819-DW,Ireland,Yes
29814-01459-RC,United Kingdom,Yes
21815-71230-UT,United States,No
48497-29281-FE,United States,Yes
43605-12616-YH,United States,No
21907-75962-VB,United States,Yes
69503-12127-YD,United States,No
68810-07329-EU,United States,Yes
08478-75251-OG,United States,Yes
17005-82030-EA,United States,Yes
42179-95059-DO,United States,Yes
55989-39849-WO,United States,Yes
28932-49296-TM,United States,Yes
86144-10144-CB,United States,No
60973-72562-DQ,United States,No
94341-60520-PF,United States,Yes
11263-86515-VU,United States,No
60004-62976-NI,United States,Yes
77876-28498-HI,United States,No
61302-06948-EH,United States,Yes
06757-96251-UH,United States,Yes
44530-75983-OD,United Kingdom,No
44865-58249-RY,United States,No
36021-61205-DF,United States,Yes
75716-12782-SS,United States,Yes
11812-00461-KH,United States,No
46681-78850-ZW,Ireland,No
01932-87052-KO,United States,Yes
16046-34805-ZF,United States,Yes
34546-70516-LR,Ireland,No
73699-93557-FZ,United States,Yes
86686-37462-CK,Ireland,Yes
14298-02150-KH,United States,No
48675-07824-HJ,United States,Yes
18551-80943-YQ,United States,Yes
19196-09748-DB,United States,Yes
72233-08665-IP,United States,Yes
53817-13148-RK,United States,No
92227-49331-QR,United States,Yes
12997-41076-FQ,United States,Yes
44220-00348-MB,United States,Yes
93047-98331-DD,United States,Yes
83537-35563-UF,United States,No
01881-40815-VO,United States,Yes
67285-75317-XI,United States,No
88167-57964-PH,United States,No
16106-36039-QS,United States,Yes
98921-82417-GN,United States,No
55265-75151-AK,Ireland,Yes
47386-50743-FG,United States,Yes
32622-54551-UC,United States,No
61516-88984-DK,United States,No
48419-02347-XP,United States,Yes
14121-20527-OJ,Ireland,Yes
53486-73919-BQ,United States,No
21889-94615-WT,United States,Yes
87726-16941-QW,United States,No
03677-09134-BC,United States,No
93224-71517-WV,United States,Yes
76263-95145-GJ,United States,No
48314-32864-VI,United States,No
70624-19112-AO,Ireland,No
58916-61837-QH,United States,Yes
89292-52335-YZ,Ireland,Yes
77284-34297-YY,United States,No
50449-80974-BZ,Ireland,Yes
08120-16183-AW,Ireland,No
68044-89277-ML,Ireland,Yes
71364-35210-HS,United Kingdom,Yes
37177-68797-ON,United States,No
60308-06944-GS,Ireland,No
49888-39458-PF,United States,No
60748-46813-DZ,Ireland,No
16385-11286-NX,United States,Yes
68555-89840-GZ,United States,No
72164-90254-EJ,United States,No
67010-92988-CT,Ireland,Yes
15776-91507-GT,Ireland,Yes
23473-41001-CD,United Kingdom,No
23446-47798-ID,United States,No
28327-84469-ND,United States,No
42466-87067-DT,United States,No
62246-99443-HF,Ireland,Yes
99869-55718-UU,United Kingdom,Yes
77421-46059-RY,United States,Yes
49894-06550-OQ,Ireland,No
72028-63343-SU,United Kingdom,No
10074-20104-NN,United States,Yes
71769-10219-IM,United States,Yes
22221-71106-JD,United States,No
99735-44927-OL,United States,Yes
27064-10803-SB,United States,Yes
90440-62727-HI,United States,Yes
36769-16558-SX,United States,Yes
10138-31681-SD,United States,No
24669-76297-SF,United States,No
78050-20355-DI,Ireland,Yes
79825-17822-UH,United States,No
03990-21586-MQ,United States,Yes
27493-46921-TZ,United States,No
27132-68907-RC,United States,Yes
21565-13068-SH,United States,Yes
04776-34127-MX,United States,No
58816-74064-TF,United Kingdom,No
09818-59895-EH,United States,Yes
06488-46303-IZ,United States,Yes
93046-67561-AY,United States,No
68946-40750-LK,Ireland,Yes
38387-64959-WW,Ireland,Yes
48418-60841-CC,Ireland,No
13736-92418-JS,Ireland,Yes
33000-22405-LO,United States,No
46959-60474-LT,United States,No
73431-39823-UP,United States,No
90993-98984-JK,United States,Yes
06552-04430-AG,United Kingdom,No
54597-57004-QM,United States,No
50238-24377-ZS,United States,Yes
60370-41934-IF,United States,No
06899-54551-EH,Ireland,No
71631-11462-TH,United Kingdom,Yes
80463-43913-WZ,Ireland,Yes
67204-04870-LG,United States,No
22721-63196-UJ,United Kingdom,No
88973-59503-DR,United States,No
29738-86305-ZU,United States,No
68493-99734-LP,United States,Yes
55515-37571-RS,United States,No
25598-77476-CB,United States,Yes
14888-85625-TM,United States,Yes
92793-68332-NR,Ireland,No
66458-91190-YC,Ireland,Yes
64439-27325-LG,Ireland,Yes
78570-76770-LB,United States,Yes
98661-69719-VI,United States,No
82990-92703-IX,United States,No
49412-86877-VY,United States,Yes
70879-00984-FJ,United States,No
53414-73391-CR,United States,Yes
43606-83072-OA,United States,No
84466-22864-CE,United States,No
44086-16292-EU,United States,No
76499-89100-JQ,United States,No
15451-65859-BG,United States,No
39582-35773-ZJ,United States,No
66240-46962-IO,Ireland,No
10637-45522-ID,United States,No
92599-58687-CS,United States,Yes
06058-48844-PI,United States,Yes
53631-24432-SY,United Kingdom,No
18275-73980-KL,United States,No
23187-65750-HZ,United States,No
22725-79522-GP,United States,No
06279-72603-JE,United States,No
83543-79246-ON,United States,Yes
66794-66795-VW,United States,No
95424-67020-AP,Ireland,Yes
73017-69644-MS,Ireland,No
59361-00606-CU,United States,No
67423-10113-LM,United States,Yes
48582-05061-RY,United States,Yes
32031-49093-KE,United States,No
31715-98714-OO,United States,Yes
73759-17258-KA,Ireland,Yes
64897-79178-MH,United States,No
73346-85564-JB,United States,No
07476-13102-NJ,United States,No
87223-37422-SK,United Kingdom,No
57837-15577-YK,Ireland,No
64247-71448-NK,United States,Yes
73647-66148-VM,United States,Yes
10142-55267-YO,United States,Yes
92976-19453-DT,United States,Yes
89757-51438-HX,United States,No
76192-13390-HZ,United Kingdom,Yes
02009-87294-SY,United States,No
82872-34456-LJ,United Kingdom,Yes
13181-04387-LI,Ireland,No
24845-36117-TI,United States,Yes
30256-29772-KK,United States,No
86646-65810-TD,United States,Yes
59480-02795-IU,United States,Yes
61809-87758-LJ,United States,Yes
77408-43873-RS,Ireland,Yes
18366-65239-WF,United Kingdom,No
11107-57605-HS,United States,No
72072-33025-SD,United States,No
58118-22461-GC,United States,No
90940-63327-DJ,United States,Yes
64481-42546-II,Ireland,No
27536-28463-NJ,United States,Yes
66005-20240-MI,United States,No
70140-82812-KD,United States,No
91895-55605-LS,United Kingdom,No
43155-71724-XP,United States,Yes
32038-81174-JF,United States,No
59205-20324-NB,United States,Yes
99899-54612-NX,United States,No
26248-84194-FI,United States,No
19485-98072-PS,United Kingdom,No
84493-71314-WX,Ireland,No
09530-56210-WO,Ireland,No
39789-43945-IV,United States,Yes
38972-89678-ZM,United Kingdom,Yes
91465-84526-IJ,United States,No
22832-98538-RB,United States,Yes
30844-91890-ZA,United States,No
64328-37891-JA,Ireland,Yes
88992-49081-AT,United States,No
10204-31464-SA,United States,Yes
75156-80911-YT,United States,Yes
53971-49906-PZ,United States,No
10728-17633-ST,United States,Yes
13549-65017-VE,United States,Yes
87688-42420-TO,United States,No
05325-97750-WP,United Kingdom,Yes
51901-35210-UI,United States,No
62483-50867-OM,United Kingdom,No
92753-50029-SD,United States,No
53809-98498-SN,United States,Yes
66308-13503-KD,United States,Yes
82458-87830-JE,United States,Yes
41611-34336-WT,United States,No
70089-27418-UJ,United States,Yes
99978-56910-BN,United States,Yes
09668-23340-IC,United States,No
39457-62611-YK,Ireland,No
90985-89807-RW,United States,Yes
73171-33001-FC,United States,No
17816-67941-ZS,United States,Yes
90816-65619-LM,United States,No
69761-61146-KD,United States,Yes
24040-20817-QB,United States,No
19524-21432-XP,United States,No
14398-43114-RV,Ireland,No
41486-52502-QQ,United States,No
62762-19458-UY,United States,No
20236-64364-QL,United States,Yes
29102-40100-TZ,United Kingdom,No
09171-42203-EB,United States,No
29060-75856-UI,United States,Yes
17088-16989-PL,United States,Yes
94022-69223-DP,Ireland,No
13324-78688-MI,United States,No
73799-04749-BM,United States,No
01927-46702-YT,United Kingdom,No
80467-17137-TO,Ireland,Yes
14640-87215-BK,United States,No
94447-35885-HK,United States,No
71034-49694-CS,United States,Yes
00445-42781-KX,Ireland,Yes
14756-18321-CL,United States,No
37997-75562-PI,United States,No
69981-85767-RP,Ireland,Yes
96116-24737-LV,United States,No
18684-73088-YL,United States,No
74671-55639-TU,United States,No
17488-65879-XL,United States,Yes
46431-09298-OU,United States,Yes
60378-26473-FE,Ireland,Yes
34927-68586-ZV,Ireland,Yes
29051-27555-GD,United States,Yes
05503-73375-RU,United Kingdom,No
64918-67725-MN,United States,Yes
85634-61759-ND,United Kingdom,Yes
40180-22940-QB,United States,Yes
34666-76738-SQ,United States,No
98536-88616-FF,United States,Yes
55621-06130-SA,United States,Yes
45666-86771-EH,United Kingdom,Yes
52143-35672-JF,United States,No
24689-69376-XX,United Kingdom,No
71891-51101-VQ,United States,Yes
71749-05400-CN,United States,No
64845-00270-NO,Ireland,No
29851-36402-UX,United States,No
12190-25421-WM,United States,No
52316-30571-GD,United States,Yes
23243-92649-RY,United States,No
39528-19971-OR,United States,Yes
10248-53779-DT,Ireland,Yes
93417-12322-YB,Ireland,Yes
56891-86662-UY,United States,No
40414-26467-VE,United States,Yes
87858-83734-RK,United States,No
46818-20198-GB,United States,No
29808-89098-XD,United States,No
71845-97930-ME,United States,Yes
78786-77449-RQ,United States,No
27878-42224-QF,Ireland,No
32743-78448-KT,United States,Yes
25331-13794-SB,United States,No
55864-37682-GQ,United States,Yes
97005-25609-CQ,United States,No
94058-95794-IJ,United States,Yes
40214-03678-GU,United States,Yes
04921-85445-SL,United States,Yes
53386-94266-LJ,United States,Yes
49480-85909-DG,United States,No
18293-78136-MN,Ireland,No
84641-67384-TD,United States,Yes
72320-29738-EB,United Kingdom,No
47355-97488-XS,United States,No
63499-24884-PP,United Kingdom,Yes
39193-51770-FM,United States,Yes
61323-91967-GG,United States,No
90123-01967-KS,United States,No
15958-25089-OS,United States,Yes
98430-37820-UV,United States,Yes
21798-04171-XC,United States,No
52798-46508-HP,Ireland,No
46478-42970-EM,United States,No
00246-15080-LE,United States,No
09357-10966-VA,United States,Yes
26295-44907-DK,United States,No
95351-96177-QV,United States,Yes
92204-96636-BS,United States,No
03010-30348-UA,United States,Yes
13441-34686-SW,United States,No
96612-41722-VJ,Ireland,No
94091-86957-HX,Ireland,No
25504-41681-WA,United States,Yes
75443-07820-DZ,United States,No
39276-95489-XV,Ireland,Yes
61437-83623-PZ,United States,Yes
34317-87258-HQ,Ireland,Yes
18570-80998-ZS,United States,Yes
66580-33745-OQ,United States,No
19820-29285-FD,United States,No
11349-55147-SN,Ireland,No
21141-12455-VB,United States,Yes
71003-85639-HB,United States,Yes
58443-95866-YO,United States,No
89646-21249-OH,United States,No
64988-20636-XQ,United Kingdom,No
34704-83143-KS,United States,No
67388-17544-XX,Ireland,Yes
69411-48470-ID,United States,No
20077-67239-EC,Ireland,No
97741-98924-KT,United States,No
79857-78167-KO,United States,No
46963-10322-ZA,United States,Yes
93812-74772-MV,United States,Yes
48203-23480-UB,United States,Yes
60357-65386-RD,United States,No
35099-13971-JI,United States,No
01304-59807-OB,United States,Yes
50705-17295-NK,United States,No
77657-61366-FY,United States,No
57192-13428-PL,Ireland,Yes
24891-77957-LU,United States,Yes
64896-18468-BT,United Kingdom,No
84761-40784-SV,United States,No
20236-42322-CM,United States,Yes
49671-11547-WG,United States,No
57976-33535-WK,United States,Yes
55915-19477-MK,United States,No
28121-11641-UA,United States,No
09540-70637-EV,Ireland,Yes
17775-77072-PP,United States,No
90392-73338-BC,United Kingdom,No
94278-27169-QC,United States,Yes
10725-45724-CO,Ireland,No
87242-18006-IR,United States,No
36572-91896-PP,United States,No
25181-97933-UX,United States,No
55374-03175-IA,United States,Yes
76948-43532-JS,Ireland,No
24344-88599-PP,Ireland,No
54462-58311-YF,Ireland,Yes
90767-92589-LV,United States,No
27517-43747-YD,Ireland,Yes
77828-66867-KH,United States,Yes
41054-59693-XE,United States,No
26314-66792-VP,United States,Yes
69410-04668-MA,United States,No
91950-91273-JT,United States,No
24972-55878-KX,United States,No
46296-42617-OQ,United States,Yes
44494-89923-UW,United States,Yes
11621-09964-ID,United States,No
76319-80715-II,United States,Yes
91654-79216-IC,United States,No
56450-21890-HK,United States,Yes
40600-58915-WZ,United Kingdom,No
66527-94478-PB,United States,No
77154-45038-IH,United States,Yes
08439-55669-AI,United States,Yes
81059-24087-UE,United States,No
46168-23489-RD,United States,No
11664-43119-GV,United States,Yes
91509-62250-GN,United Kingdom,No
83833-46106-ZC,United States,No
19383-33606-PW,United States,No
67052-76184-CB,United States,No
43452-18035-DH,Ireland,No
88060-50676-MV,United States,Yes
89574-96203-EP,United States,Yes
12607-75113-UV,United States,No
56991-05510-PR,United States,No
35463-72088-KU,United States,Yes
33269-10023-CO,United States,Yes
31245-81098-PJ,United States,No
08946-56610-IH,United States,No
20260-32948-EB,Ireland,No
31613-41626-KX,United States,Yes
75961-20170-RD,United States,No
72524-06410-KD,United States,No
01841-48191-NL,United States,Yes
98918-34330-GY,United States,Yes
51497-50894-WU,Ireland,Yes
98636-90072-YE,United States,No
47011-57815-HJ,United States,No
61253-98356-VD,United States,Yes
96762-10814-DA,United Kingdom,Yes
63112-10870-LC,United States,No
21403-49423-PD,United States,No
29581-13303-VB,United States,No
86110-83695-YS,United States,No
80454-42225-FT,United States,No
29129-60664-KO,United States,Yes
63025-62939-AN,United States,Yes
49012-12987-QT,Ireland,No
50924-94200-SQ,United States,Yes
15673-18812-IU,United States,No
52151-75971-YY,United States,No
19413-02045-CG,United Kingdom,No
98185-92775-KT,United States,No
86991-53901-AT,United Kingdom,Yes
78226-97287-JI,Ireland,No
44938-31785-YZ,United States,Yes
40560-18556-YE,United States,Yes
40780-22081-LX,United States,No
01603-43789-TN,Ireland,Yes
45009-09239-IV,United Kingdom,Yes
75419-92838-TI,United States,Yes
96516-97464-MF,United States,No
90285-56295-PO,United States,No
08100-71102-HQ,Ireland,No
84074-28110-OV,United States,No
27930-59250-JT,United States,No
12747-63766-EU,United States,Yes
83490-88357-LJ,United States,Yes
53729-30320-XZ,United States,No
50384-52703-LA,United States,No
53864-36201-FG,United States,Yes
70631-33225-MZ,United States,Yes
78661-52235-WG,United States,Yes
08023-52962-ET,United States,Yes
41899-00283-VK,United States,No
39011-18412-GR,United States,Yes
60255-12579-PZ,United States,No
80541-38332-BP,United States,No
54798-14109-HC,United States,Yes
72778-50968-UQ,United States,No
23941-30203-MO,United States,Yes
96434-50068-DZ,United States,No
11729-74102-XB,United States,Yes
88116-12604-TE,United States,No
86783-78048-GC,United States,Yes
13082-41034-PD,United States,No
18082-74419-QH,United States,No
49401-45041-ZU,United States,Yes
41252-45992-VS,United States,No
06624-75300-AR,United States,Yes
00852-54571-WP,United States,Yes
13321-57602-GK,United States,Yes
75006-89922-VW,United States,No
52098-80103-FD,United States,Yes
60121-12432-VU,United States,Yes
68346-14810-UA,United States,No
48464-99723-HK,United States,Yes
39652-20484-RV,United States,Yes
88420-46464-XE,United States,Yes
37762-09530-MP,United States,Yes
47268-50127-XY,United States,No
25544-84179-QC,United States,Yes
32058-76765-ZL,United States,No
67938-81768-NX,United Kingdom,Yes
69171-65646-UC,United States,No
22503-52799-MI,United States,No
08934-65581-ZI,United States,No
15764-22559-ZT,United States,No
87519-68847-ZG,United States,Yes
78012-56878-UB,United States,Yes
77192-72145-RG,United States,Yes
86071-79238-CX,Ireland,No
13764-02913-LA,United States,Yes
11212-69985-ZJ,Ireland,No
53893-01719-CL,Ireland,Yes
66028-99867-WJ,United States,Yes
62839-56723-CH,United States,Yes
96849-52854-CR,Ireland,Yes
19755-55847-VW,United Kingdom,Yes
32900-82606-BO,United States,No
16809-16936-WF,United States,Yes
20118-28138-QD,United States,No
84057-45461-AH,Ireland,No
66934-67426-WC,United States,Yes
90882-88130-KQ,United States,No
21617-79890-DD,United States,Yes
20256-54689-LO,United States,No
17572-27091-AA,United States,No
82300-88786-UE,United States,Yes
32562-55185-DQ,United States,No
77175-09826-SF,United States,Yes
07237-32539-NB,United States,Yes
54722-76431-EX,Ireland,No
67847-82662-TE,United States,No
51114-51191-EW,United States,No
91809-58808-TV,United States,Yes
84996-26826-DK,United States,Yes
